DATE,CSHMCPAUA156NRUG
1950-01-01,-0.1258297860622406
1951-01-01,-0.1914018839597702
1952-01-01,-0.09804854542016983
1953-01-01,-0.10159067064523697
1954-01-01,-0.11589032411575317
1955-01-01,-0.10307502001523972
1956-01-01,-0.08493682742118835
1957-01-01,-0.09345868229866028
1958-01-01,-0.08253243565559387
1959-01-01,-0.09131694585084915
1960-01-01,-0.11738605797290802
1961-01-01,-0.09420624375343323
1962-01-01,-0.09362295269966125
1963-01-01,-0.1202043741941452
1964-01-01,-0.13319462537765503
1965-01-01,-0.1447007805109024
1966-01-01,-0.12552346289157867
1967-01-01,-0.12355450540781021
1968-01-01,-0.12597671151161194
1969-01-01,-0.11526736617088318
1970-01-01,-0.11828970909118652
1971-01-01,-0.10307236015796661
1972-01-01,-0.09028995037078857
1973-01-01,-0.10173019021749496
1974-01-01,-0.1562066376209259
1975-01-01,-0.13135835528373718
1976-01-01,-0.1300869882106781
1977-01-01,-0.13543076813220978
1978-01-01,-0.12984926998615265
1979-01-01,-0.13326621055603027
1980-01-01,-0.15212155878543854
1981-01-01,-0.16377465426921844
1982-01-01,-0.16839908063411713
1983-01-01,-0.13761042058467865
1984-01-01,-0.14687307178974152
1985-01-01,-0.1484985649585724
1986-01-01,-0.13296927511692047
1987-01-01,-0.12120050191879272
1988-01-01,-0.1379603147506714
1989-01-01,-0.15811601281166077
1990-01-01,-0.14509080350399017
1991-01-01,-0.1369083672761917
1992-01-01,-0.148305743932724
1993-01-01,-0.15624192357063293
1994-01-01,-0.16657918691635132
1995-01-01,-0.1707344651222229
1996-01-01,-0.1716119349002838
1997-01-01,-0.1710124909877777
1998-01-01,-0.17215362191200256
1999-01-01,-0.1745513528585434
2000-01-01,-0.18203769624233246
2001-01-01,-0.16743764281272888
2002-01-01,-0.1830541342496872
2003-01-01,-0.1967899203300476
2004-01-01,-0.2180764079093933
2005-01-01,-0.22811931371688843
2006-01-01,-0.24855439364910126
2007-01-01,-0.261949360370636
2008-01-01,-0.2758256793022156
2009-01-01,-0.23880302906036377
2010-01-01,-0.255624383687973
2011-01-01,-0.29140329360961914
2012-01-01,-0.31537747383117676
2013-01-01,-0.28621816635131836
2014-01-01,-0.27313587069511414
2015-01-01,-0.2716678977012634
2016-01-01,-0.2416413426399231
2017-01-01,-0.25845596194267273
2018-01-01,-0.24352800846099854
2019-01-01,-0.23548701405525208
